epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.42979907989501953,0.2780231535434723,0.5702009797096252,1e-05,0.44896501302719116,0.6587806940078735,0.32579031586647034,0.19587790966033936,0.668125569820404,0.2608705163002014,0.06879966706037521
1,0.6389799118041992,0.4735788404941559,0.36102017760276794,1e-05,0.6486842036247253,0.9093166589736938,0.33461329340934753,0.20227667689323425,0.6608204245567322,0.3658750057220459,0.3531675338745117
2,0.7666342854499817,0.6246302723884583,0.23336578905582428,1e-05,0.8595914244651794,0.9582065939903259,0.28830429911613464,0.16868288815021515,0.7079957723617554,0.0,0.0
3,0.8271190524101257,0.7083677053451538,0.17288090288639069,1e-05,0.9288837909698486,0.9663207530975342,0.23280547559261322,0.13208065927028656,0.7631378769874573,0.0,0.0
4,0.8595646023750305,0.7553170323371887,0.14043547213077545,1e-05,0.9466269612312317,0.9698631167411804,0.18497346341609955,0.10209320485591888,0.8163954019546509,0.0,0.0
5,0.8770257830619812,0.782771646976471,0.12297417968511581,1e-05,0.95587557554245,0.9704432487487793,0.14734724164009094,0.07960902899503708,0.8518490195274353,0.0,0.0
6,0.8892861604690552,0.8019072413444519,0.11071362346410751,1e-05,0.9631575345993042,0.9730527400970459,0.1367933750152588,0.07354416698217392,0.8644023537635803,0.794434130191803,0.011416427791118622
7,0.8956657648086548,0.8126769065856934,0.10433431714773178,1e-06,0.9661052823066711,0.9772732257843018,0.47703951597213745,0.3263711631298065,0.5425436496734619,0.9713115096092224,0.3361847400665283
8,0.9010210633277893,0.8206678032875061,0.09897887706756592,1e-06,0.9682467579841614,0.9794222712516785,0.775081992149353,0.6335660219192505,0.22489473223686218,0.9563195705413818,0.7683674097061157
9,0.8977457880973816,0.8158392906188965,0.10225395113229752,1e-06,0.9692783355712891,0.9779471158981323,0.8516612648963928,0.7440009117126465,0.14103393256664276,0.9321773648262024,0.9380002021789551
10,0.899397075176239,0.8185921311378479,0.10060310363769531,1e-06,0.9695984721183777,0.9779240489006042,0.8728067278862,0.775662362575531,0.12928250432014465,0.9250564575195312,0.9539180994033813
11,0.8984692692756653,0.8179488778114319,0.10153070837259293,1e-06,0.9687780737876892,0.9790675044059753,0.867200493812561,0.7705219984054565,0.13559724390506744,0.9275743365287781,0.9556119441986084
12,0.9008995890617371,0.820872962474823,0.09910041838884354,1e-06,0.9689404368400574,0.9781470894813538,0.8831173181533813,0.7925310730934143,0.11846837401390076,0.9362986087799072,0.9596460461616516
13,0.9006664156913757,0.8208909630775452,0.09933356940746307,1e-06,0.970212459564209,0.9793550968170166,0.8839407563209534,0.7937392592430115,0.11822395771741867,0.9418884515762329,0.958518385887146
14,0.9030302166938782,0.8244198560714722,0.09696994721889496,1e-06,0.9710593223571777,0.9799749851226807,0.8849302530288696,0.7946307063102722,0.11264267563819885,0.9517604112625122,0.9549039602279663
15,0.9041510820388794,0.8260712027549744,0.09584881365299225,1e-06,0.9706695675849915,0.979906439781189,0.8903593420982361,0.8031851649284363,0.11145222932100296,0.9564382433891296,0.9530112743377686
